bridge_id,status,lat,lon,elev_m,region,bearing_deg,face_normal_deg,T_peak_max,T_surf_peak,T_top_peak,T_bot_peak,T_top_mean,T_bot_mean,max_vertical_gradient,mean_vertical_gradient,diurnal_range_top
U0598,ok,26.3355073,107.2063488,1030.0,R2,128.1,218.1,45.614056836403286,45.614056836403286,33.254852580073496,31.798060813834734,27.110792191341975,26.839226211418932,1.9840226455944965,0.27156597992303977,8.966131299795439
U0599,ok,26.13571940657392,106.91976729765416,1236.0,R2,85.4,175.4,45.73404029630167,45.73404029630167,34.69691978359255,31.718515213201748,27.31595942770162,26.73260107273466,4.3517328632567285,0.583358354966965,10.533767890711605
U0600,ok,26.59606726666667,107.2395038,974.0,R2,89.5,179.5,43.8656060163823,43.8656060163823,34.451791663949905,30.700946357107966,26.448562248888567,25.925025936845056,4.2963286918941535,0.5235363120435069,11.217817205464414
U0602,ok,26.09718947440381,107.42445731979332,914.0,R2,111.5,201.5,45.456350631358156,45.456350631358156,33.544521200603036,30.518491050621346,26.574556414337668,26.129869918682825,3.230952041759924,0.44468649565484464,9.665173897124234
U0601,ok,26.45361876129032,106.96818155161291,1093.0,R2,40.9,130.9,45.04841627348869,45.04841627348869,32.66437055182622,31.880358101256576,26.7208874792385,26.524115696419653,1.8324192129618808,0.19677178281884225,8.93083569620569
U0603,ok,26.4705696,107.0321383625,1094.0,R2,108.2,198.2,45.82309264293992,45.82309264293992,34.69059225949102,30.885736454921773,26.93698127965127,26.352479317365486,3.9983897307287144,0.5845019622857824,11.025374391312269
U0604,ok,26.5839617625,107.292840025,1094.0,R2,112.2,202.2,45.282065398135096,45.282065398135096,34.059108179170806,30.939293901523254,26.683744936213056,26.240475062930702,3.315644921485358,0.44326987328235645,10.547528660026096
U0607,ok,26.633082,107.64052673947369,746.0,R2,97.4,187.4,45.73838209754889,45.73838209754889,36.52050491707339,31.87686724066454,27.88813613636041,27.174445796869044,5.287365139696348,0.7136903394913636,12.265050009281616
M02,ok,23.904534,109.598039,46.0,R3,0.0,90.0,44.70084481163143,44.70084481163143,34.71343231095175,34.431745277016496,30.688504527927563,30.611052919640752,1.0657189605479296,0.0774516082868056,5.574592568330445
U1455,ok,23.9020167,109.27164165000002,89.0,R3,6.3,96.3,46.7320438878904,46.7320438878904,34.75846420881157,34.197813241331396,30.027629309721764,29.929591341495485,1.3978110434238502,0.09803796822628189,6.376918114687641
U1464,ok,24.177196366666667,109.30735008333332,107.0,R3,20.8,110.8,46.15962311641151,46.15962311641151,34.711383451924746,34.00188122194976,29.950649858599217,29.841298135106832,1.438598104685564,0.10935172349237868,6.340846975474843
U1470,ok,23.71388085,109.239794625,99.0,R3,29.5,119.5,47.35286502421458,47.35286502421458,35.367627252801135,34.48766566239916,30.57478059636616,30.465777165312147,1.7109148164202104,0.10900343105401136,6.510085989018162
U1481,ok,24.23141247692308,109.34247944615385,99.0,R3,15.6,105.6,46.45296169051633,46.45296169051633,34.97537840498377,34.329349883194084,30.270551364453482,30.164462444942746,1.4784168621262381,0.10608891951073529,6.2829024668638525
U1484,ok,23.946368775000003,109.26653290000002,99.0,R3,167.9,257.9,46.87173974335969,46.87173974335969,34.881043111129024,34.26612103022864,30.113300450961276,30.01023197935723,1.3991248679798645,0.10306847160404783,6.418253406934017
U1502,ok,24.029652175,109.68388225,62.0,R3,75.9,165.9,44.455653601598314,44.455653601598314,34.54477489520405,33.013864726880705,29.86052963805299,29.593221918748966,2.681636675736822,0.26730771930402547,6.169503894579066
U1507,ok,23.81579015,109.26211915,105.0,R3,92.6,182.6,47.27258097279495,47.27258097279495,38.19730759378185,33.95891046412499,30.868884450384783,30.416519504074007,4.852010418063806,0.4523649463107709,9.318632913701677
U1508,ok,24.254235925,109.6323405875,59.0,R3,18.3,108.3,48.80315356424454,48.80315356424454,34.49785702442074,34.46481019687073,30.503495146703465,30.432251666885023,1.3646405278286018,0.071243479818441,5.395410543634103
U1509,ok,24.24886718125,109.342711865625,97.0,R3,1.7,91.7,46.36294578318798,46.36294578318798,34.82183213958218,34.248257391247854,30.181877541917263,30.08217797618365,1.3971535410856184,0.09969956573360962,6.212712862144759
